quran_text,ur_meaning,en_meaning
فَتَلَقّٰۤی,پس سیکھ لئے / پھر حاصل کرلئے,Then received
اٰدَمُ,آدم نے,Adam
مِنْ,سے,from
رَّبِّهٖ,اپنے رب,his Lord
كَلِمٰتٍ,کچھ کلمے / چند الفاظ,words
فَتَابَ,پھر مہربان ہوا,So (his Lord) turned
عَلَیْهِؕ,اس پر,towards him
اِنَّهٗ,بیشک وہ,Indeed He
هُوَ,وہی ہے,He
التَّوَّابُ,جو توبہ قبول کرنے والا ہے,(is) the Oft-returning (to mercy)
الرَّحِیْمُ,جو بار بار رحم کرنے والا ہے,the Most Merciful
قُلْنَا,کہا ہم نے,We said
اهْبِطُوْا,اتر جاؤ,Go down
مِنْهَا,اس میں سے,from it
جَمِیْعًاۚ,سب کے سب / سب ہی,all (of you)
فَاِمَّا,پھر اگر,and when
یَاْتِیَنَّكُمْ,آجائے تمہارے پاس,comes to you
مِّنِّیْ,میری طرف سے,from Me
هُدًی,کوئی ہدایت,Guidance
فَمَنْ,تو جس نے,then whoever
تَبِعَ,پیروی کی,follows
هُدَایَ,میری ہدایت کی,My Guidance
فَلَا,تو نہیں ہوگا,[then] no
خَوْفٌ,کوئی خوف / ڈر,fear
عَلَیْهِمْ,اوپر ان کے,(will be) on them
وَلَا,اور نہ,and not
هُمْ,وہ,they
یَحْزَنُوْنَ,غمگین ہوں گے,will grieve
وَالَّذِیْنَ,اور وہ لوگ,And those
كَفَرُوْا,جنہوں نے کفر کیا,who disbelieve[d]
وَكَذَّبُوْا,اورانہوں نے جھٹلایا,and deny
بِاٰیٰتِنَاۤ,ہماری آیات کو / ہمارے احکام کو,Our Signs
اُولٰٓىِٕكَ,یہی لوگ,those
اَصْحٰبُ,ساتھی ہیں,(are the) companions
النَّارِۚ,آگ کے,(of) the Fire
هُمْ,وہ,they
فِیْهَا,اس میں,in it
خٰلِدُوْنَ,ہمیشہ رہنے والے ہیں,(will) abide forever
یٰبَنِیْۤ,اے بیٹو !,O Children
اِسْرَآءِیْلَ,اسرائیل کے,(of) Israel
اذْكُرُوْا,یاد کرو,Remember
نِعْمَتِیَ,نعمتیں میری,My Favor
الَّتِیْۤ,وہ جو,which
اَنْعَمْتُ,انعام کی تھیں میں نے,I bestowed
عَلَیْكُمْ,اوپر تمہارے,upon you
وَاَوْفُوْا,اور پورا کرو,and fulfill
بِعَهْدِیْۤ,میرے عہد کو,My Covenant
اُوْفِ,میں پورا کروں گا,I will fulfill
بِعَهْدِكُمْۚ,تمہارے عہد کو,your covenant
وَاِیَّایَ,اورصرف مجھ سے ہی,and Me Alone
فَارْهَبُوْنِ,پس ڈرو مجھ سے,fear [Me]
وَاٰمِنُوْا,اور ایمان لاؤ,And believe
بِمَاۤ,ساتھ اس کے جو,in what
اَنْزَلْتُ,نازل کی میں نے / اتاری میں نے,I have sent down
مُصَدِّقًا,جو تصدیق کرنے والی ہے,confirming
لِّمَا,واسطے اس کے جو,that which
مَعَكُمْ,تمہارے پاس ہے,(is) with you
وَلَا,اور نہ,and (do) not
تَكُوْنُوْۤا,تم ہوجاؤ,be
اَوَّلَ,پہلے,(the) first
كَافِرٍ,انکار کرنے والے,disbeliever
بِهٖ۪,ساتھ اس کے,of it
وَلَا,اور نہ,And (do) not
تَشْتَرُوْا,تم لو,exchange
بِاٰیٰتِیْ,بدلے میری آیات کے,My Signs (for)
ثَمَنًا,قیمت,a price
قَلِیْلًاؗ,تھوڑی,small
وَّاِیَّایَ,اور صرف مجھ سے ہی,and Me Alone
فَاتَّقُوْنِ,پس ڈرو مجھ سے,fear [Me]
وَلَا,اور نہ,And (do) not
تَلْبِسُوا,تم ملاؤ / گڈ مڈ کرو,mix
الْحَقَّ,حق کو,the Truth
بِالْبَاطِلِ,ساتھ باطل کے,with [the] falsehood
وَتَكْتُمُوا,اورنہ تم چھپاؤ / تم چھپاتے ہو,and conceal
الْحَقَّ,حق کو,the Truth
وَاَنْتُمْ,حالانکہ تم,while you
تَعْلَمُوْنَ,تم جانتے ہو,[you] know
وَاَقِیْمُوا,اور قائم کرو,And establish
الصَّلٰوةَ,نماز,the prayer
وَاٰتُوا,اوردو / ادا کرو,and give
الزَّكٰوةَ,زکوٰۃ,zakah
وَارْكَعُوْا,اوررکوع کرو,and bow down
مَعَ,ساتھ,with
الرّٰكِعِیْنَ,رکوع کرنے والوں کے,those who bow down
اَتَاْمُرُوْنَ,کیاتم حکم دیتے ہو,Do you order
النَّاسَ,لوگوں کو,[the] people
بِالْبِرِّ,نیکی کا,[the] righteousness
وَتَنْسَوْنَ,اورتم بھول جاتے ہو,and you forget
اَنْفُسَكُمْ,اپنے نفسوں کو,yourselves
وَاَنْتُمْ,حالانکہ تم,while you
تَتْلُوْنَ,تلاوت کرتے ہو,[you] recite
الْكِتٰبَؕ,کتاب کی,the Book
اَفَلَا,پھر نہیں,Then will not
تَعْقِلُوْنَ,تم عقلوں سے کام لیتے ہو,you use reason
وَاسْتَعِیْنُوْا,اور مدد مانگو,And seek help
بِالصَّبْرِ,ساتھ صبر کے,through patience
وَالصَّلٰوةِؕ,اورنماز کے,and the prayer
وَاِنَّهَا,اوربیشک وہ (نماز),and indeed it
لَكَبِیْرَةٌ,البتہ بھاری ہے / مشکل ہے / بڑی ہے,(is) surely difficult
اِلَّا,سوائے / مگر,except
عَلَی,اوپر انکے,on
الْخٰشِعِیْنَ,جو خشوع کرنے والے ہیں,the humble ones
الَّذِیْنَ,وہ لوگ,Those who
یَظُنُّوْنَ,جو یقین رکھتے ہیں,believe
اَنَّهُمْ,بیشک وہ,that they
مُّلٰقُوْا,ملاقات کرنے والے ہیں,will meet
رَبِّهِمْ,اپنے رب سے,their Lord
وَاَنَّهُمْ,اور بیشک وہ,and that they
اِلَیْهِ,طرف اس کے,to Him
رٰجِعُوْنَ,لوٹنے والے ہیں,will return
یٰبَنِیْۤ,اے بنی,O Children
اِسْرَآءِیْلَ,اسرائیل,(of) Israel
اذْكُرُوْا,یاد کرو,Remember
نِعْمَتِیَ,میری نعمتیں,My Favor
الَّتِیْۤ,وہ جو,which
اَنْعَمْتُ,انعام کی تھیں میں نے,I bestowed
عَلَیْكُمْ,اوپر تمہارے,upon you
وَاَنِّیْ,اور بیشک میں نے,and that I
فَضَّلْتُكُمْ,فضیلت دی تھی میں نے تم کو,[I] preferred you
عَلَی,اوپر,over
الْعٰلَمِیْنَ,تمام دنیا والوں کے,the worlds
وَاتَّقُوْا,اور,And fear
یَوْمًا,اس دن سے,a day
لَّا,نہ,(will) not
تَجْزِیْ,کام آئے گا / بدلہ بنے گا,avail
نَفْسٌ,کوئی نفس,any soul
عَنْ,طرف سے,for
نَّفْسٍ,کسی نفس کی,(another) soul
شَیْـًٔا,کچھ بھی,anything
وَّلَا,اور نہ,and not
یُقْبَلُ,قبول کی جائے گی,will be accepted
مِنْهَا,اس سے,from it
شَفَاعَةٌ,کوئی سفارش,any intercession
وَّلَا,اور نہ,and not
یُؤْخَذُ,لیا جائے گا,will be taken
مِنْهَا,اس سے,from it
عَدْلٌ,کوئی بدلہ,a compensation
وَّلَا,اور نہ,and not
هُمْ,وہ,they
یُنْصَرُوْنَ,وہ مدد دئیے جائیں گے,will be helped
وَاِذْ,اور جب,And when
نَجَّیْنٰكُمْ,نجات دی ہم نے تم کو,We saved you
مِّنْ,سے,from
اٰلِ,آل,(the) people
فِرْعَوْنَ,فرعون,(of) Firaun
یَسُوْمُوْنَكُمْ,وہ تکلیف دیتے تھے تھم کو,(who were) afflicting you (with)
سُوْٓءَ,برے,horrible
الْعَذَابِ,عذاب کی,torment
یُذَبِّحُوْنَ,خوب ذبح کرتے تھے,slaughtering
اَبْنَآءَكُمْ,بیٹوں کو تمہارے,your sons
وَیَسْتَحْیُوْنَ,اور زندہ چھوڑ دیتے تھے,and letting live
نِسَآءَكُمْؕ,تمہاری عورتوں کو,your women
وَفِیْ,اورمیں,And in
ذٰلِكُمْ,اس کے,that
بَلَآءٌ,آزمائش تھی,(was) a trial
مِّنْ,سے,from
رَّبِّكُمْ,تمہارے رب کی طرف سے,your Lord
عَظِیْمٌ,بڑی,great
وَاِذْ,اور جب,And when
فَرَقْنَا,پھاڑا ہم نے,We parted
بِكُمُ,تمہارے لیے,for you
الْبَحْرَ,سمندر کو,the sea
فَاَنْجَیْنٰكُمْ,پھر نجات دی ہم نے تم کو,then We saved you
وَاَغْرَقْنَاۤ,اور غرق کردیا ہم نے,and We drowned
اٰلَ,آل,(the) people
فِرْعَوْنَ,فرعون کو,(of) Firaun
وَاَنْتُمْ,اور تم,while you
تَنْظُرُوْنَ,تم دیکھ رہے تھے,(were) looking
وَاِذْ,اور جب,And when
وٰعَدْنَا,ہم نے وعدہ لیا,We appointed
مُوْسٰۤی,موسیٰ سے,(for) Musa
اَرْبَعِیْنَ,چالیس,forty
لَیْلَةً,راتوں کا,nights
ثُمَّ,پھر,Then
اتَّخَذْتُمُ,بنا لیا تم نے,you took
الْعِجْلَ,بچھڑے کو,the calf
مِنْ,سے,from
بَعْدِهٖ,اس کے بعد / (موسی) پیچھے,after him
وَاَنْتُمْ,اور تم,and you
ظٰلِمُوْنَ,ظالم تھے,(were) wrongdoers
ثُمَّ,پھر,Then
عَفَوْنَا,درگزر کیا ہم نے / معاف کردیا ہم نے,We forgave
عَنْكُمْ,تم سے,you
مِّنْ,سے,from
بَعْدِ,بعد,after
ذٰلِكَ,اس کے شرک,that
لَعَلَّكُمْ,تاکہ تم,so that you may
تَشْكُرُوْنَ,تم شکر ادا کرتے,(be) grateful
وَاِذْ,اور جب,And when
اٰتَیْنَا,دی ہم نے,We gave
مُوْسَی,موسیٰ کو,Musa
الْكِتٰبَ,کتاب,the Book
وَالْفُرْقَانَ,اور فرقان (فہم کتاب),and the Criterion
لَعَلَّكُمْ,تاکہ تم,perhaps you
تَهْتَدُوْنَ,تم ہدایت پا جاؤ,(would be) guided
وَاِذْ,اور جب,And when
قَالَ,کہا,said
مُوْسٰی,موسیٰ نے,Musa
لِقَوْمِهٖ,اپنی قوم سے,to his people
یٰقَوْمِ,اے میری قوم,O my people
اِنَّكُمْ,بیشک تم نے,Indeed you
ظَلَمْتُمْ,ظلم کیا تم نے,[you] have wronged
اَنْفُسَكُمْ,اپنے نفسوں پر / اپنی جانوں پر,yourselves
بِاتِّخَاذِكُمُ,بوجہ بنانے کے تمہارے,by your taking
الْعِجْلَ,بچھڑے کو (معبود),the calf
فَتُوْبُوْۤا,پس توبہ کرو,So turn in repentance
اِلٰی,طرف,to
بَارِىِٕكُمْ,اپنے پیدا کرنے والے کے,your Creator
فَاقْتُلُوْۤا,تو قتل کرو,and kill
اَنْفُسَكُمْؕ,اپنے نفسوں کو,yourselves
ذٰلِكُمْ,یہ,That
خَیْرٌ,بہتر ہے,(is) better
لَّكُمْ,تمہارے لئے,for you
عِنْدَ,نزدیک,with
بَارِىِٕكُمْؕ,تمہارے پیدا کرنے والے کے,your Creator
فَتَابَ,پھر وہ مہربان ہوا,Then He turned
عَلَیْكُمْؕ,تم پر,towards you
اِنَّهٗ,بیشک,Indeed He
هُوَ,وہی ہے,He
التَّوَّابُ,جو بہت توبہ قبول کرنے والا ہے,(is) the-returning
الرَّحِیْمُ,جو بار بار رحم کرنے والا ہے,the Most Merciful
وَاِذْ,اور جب,And when
قُلْتُمْ,کہا تم نے,you said
یٰمُوْسٰی,اے موسیٰ,O Musa
لَنْ,ہرگز نہیں,Never
نُّؤْمِنَ,ہم ایمان لائیں گے / ہم اعتبار کریں گے,(will) we believe
لَكَ,واسطے تیرے,in you
حَتّٰی,یہاں تک,until
نَرَی,ہم دیکھ لیں,we see
اللّٰهَ,اللہ کو,Allah
جَهْرَةً,سامنے / ظاہر / روبرو,manifestly
فَاَخَذَتْكُمُ,پس پکڑ لیا تم کو,So seized you
الصّٰعِقَةُ,کڑک نے,the thunderbolt
وَاَنْتُمْ,اس حال میں تم,while you
تَنْظُرُوْنَ,تم دیکھ رہے تھے,(were) looking
ثُمَّ,پھر,Then
بَعَثْنٰكُمْ,اٹھایا ہم نے تم کو,We revived you
مِّنْ,سے,from
بَعْدِ,بعد,after
مَوْتِكُمْ,تمہاری موت کے,your death
لَعَلَّكُمْ,تاکہ تم,so that you may
تَشْكُرُوْنَ,تم شکر ادا کرو,(be) grateful
وَظَلَّلْنَا,اور سایہ کیا ہم نے,And We shaded
عَلَیْكُمُ,اوپر تمہارے,[over] you
الْغَمَامَ,بادلوں کا,(with) [the] clouds
وَاَنْزَلْنَا,اور نازل کیا ہم نے,and We sent down
عَلَیْكُمُ,اوپر تمہارے,to you
الْمَنَّ,من,[the] manna
وَالسَّلْوٰیؕ,اور سلویٰ,and [the] quails
كُلُوْا,کھاؤ,Eat
مِنْ,میں سے,from
طَیِّبٰتِ,پاکیزہ چیزوں,(the) good things
مَا,جو,that
رَزَقْنٰكُمْؕ,رزق دیں ہم نے تم کو,We have provided you
وَمَا,اور نہیں,And not
ظَلَمُوْنَا,انہوں نے ظلم کیا ہم پر,they wronged Us
وَلٰكِنْ,اور لیکن,but
كَانُوْۤا,وہ تھے,they were
اَنْفُسَهُمْ,اپنے نفسوں پر,(to) themselves
یَظْلِمُوْنَ,وہ ظلم کرتے,doing wrong
وَاِذْ,اور جب,And when
قُلْنَا,کہا ہم نے,We said
ادْخُلُوْا,داخل ہوجاؤ,Enter
هٰذِهِ,اس,this
الْقَرْیَةَ,بستی میں,town
فَكُلُوْا,پھر کھاؤ,then eat
مِنْهَا,اس میں سے,from
حَیْثُ,جہاں سے,wherever
شِئْتُمْ,چاہو تم,you wish[ed]
رَغَدًا,خوب / بافراغت,abundantly
وَّادْخُلُوا,اور داخل ہوجاؤ,and enter
الْبَابَ,دروازے سے,the gate
سُجَّدًا,سجدہ کرتے ہوئے,prostrating
وَّقُوْلُوْا,اور کہتے جاؤ,And say
حِطَّةٌ,بخش دے / معافی معافی,Repentance
نَّغْفِرْ,ہم بخش دیں گے,We will forgive
لَكُمْ,تمہارے لئے,for you
خَطٰیٰكُمْؕ,تمہاری خطاؤں کو,your sins
وَسَنَزِیْدُ,اور ضرور ہم زیادہ دیں گے,And We will increase
الْمُحْسِنِیْنَ,احسان کرنے والوں کو,the good-doers (in reward)
فَبَدَّلَ,تو بدل ڈالا,But changed
الَّذِیْنَ,ان لوگوں نے,those who
ظَلَمُوْا,جنہوں نے ظلم کیا,wronged
قَوْلًا,بات کو,(the) word
غَیْرَ,سوائے,other (than)
الَّذِیْ,اس کے جو,(that) which
قِیْلَ,کہی گئی تھی,was said
لَهُمْ,واسطے ان کے,to them
فَاَنْزَلْنَا,تو نازل کیا ہم نے,so We sent down
عَلَی,اوپر,upon
الَّذِیْنَ,ان لوگوں کے,those who
ظَلَمُوْا,جنہوں نے ظلم کیا تھا,wronged
رِجْزًا,عذاب,a punishment
مِّنَ,سے,from
السَّمَآءِ,آسمان,the sky
بِمَا,بوجہ اس کے جو,because
كَانُوْا,تھے وہ,they were
یَفْسُقُوْنَ,وہ نافرمانی کرتے,defiantly disobeying
وَاِذِ,اور جب,And when
اسْتَسْقٰی,پانی مانگا,asked (for) water
مُوْسٰی,موسیٰ نے,Musa
لِقَوْمِهٖ,اپنی قوم کے لئے,for his people
فَقُلْنَا,تو کہا ہم نے,[so] We said
اضْرِبْ,مارو,Strike
بِّعَصَاكَ,ساتھ اپنے عصا کے,with your staff
الْحَجَرَؕ,اس پتھر کو,the stone
فَانْفَجَرَتْ,تو پھوٹ پڑے / بہہ نکلے,Then gushed forth
مِنْهُ,اس سے,from it
اثْنَتَا,دو,(of)
عَشْرَةَ,دس (بارہ),twelve
عَیْنًاؕ,چشمے,springs
قَدْ,تحقیق,Indeed
عَلِمَ,جان لیا,knew
كُلُّ,تمام,all
اُنَاسٍ,لوگوں نے / گروہوں نے,(the) people
مَّشْرَبَهُمْؕ,اپنے پنگھٹ کو / اپنی پینے کی جگہ کو,their drinking place
كُلُوْا,کھاؤ,Eat
وَاشْرَبُوْا,اور پیو,and drink
مِنْ,سے,from
رِّزْقِ,رزق (رزق سے),(the) provision (of)
اللّٰهِ,اللّٰهِ,Allah
وَلَا,اورنہیں,and (do) not
تَعْثَوْا,تم فساد کرتے پھرو,act wickedly
فِی,میں,in
الْاَرْضِ,زمین,the earth
مُفْسِدِیْنَ,فسادی بن کر,spreading corruption
وَاِذْ,اور جب,And when
قُلْتُمْ,کہا,you said
یٰمُوْسٰی,اے موسیٰ,O Musa
لَنْ,ہرگز نہیں,Never (will)
نَّصْبِرَ,ہم صبر کریں گے,we endure
عَلٰی,اوپر,[on]
طَعَامٍ,کھانے کے,food
وَّاحِدٍ,ایک,(of) one (kind)
فَادْعُ,پس تم دعا کرو,so pray
لَنَا,ہمارے لئے,for us
رَبَّكَ,اپنے رب سے,(to) your Lord
یُخْرِجْ,وہ نکالے,to bring forth
لَنَا,ہمارے لئے,for us
مِمَّا,اس میں سے جو,out of what
تُنْۢبِتُ,اگاتی ہے,grows
الْاَرْضُ,زمین (یعنی),the earth
مِنْ,سے,of
بَقْلِهَا,سبزی اس کی سے,its herbs
وَقِثَّآىِٕهَا,اور ککڑی اس کی سے,[and] its cucumbers
